trip_id,start_time,end_time,headway_secs,exact_times
"2.TA.93-E-j26-1.1.H","08:30:00","16:00:00","60","0"
"3.TA.93-E-j26-1.1.H","08:30:00","16:30:00","60","0"
"4.TA.93-E-j26-1.2.R","09:00:00","16:30:00","60","0"
"5.TA.93-E-j26-1.2.R","08:30:00","16:30:00","60","0"
"6.TA.93-E-j26-1.2.R","08:30:00","16:00:00","60","0"
"1.TA.93-M-j26-1.1.H","08:30:00","16:00:00","60","0"
"2.TA.93-M-j26-1.1.H","09:00:00","16:00:00","60","0"
"3.TA.93-M-j26-1.1.H","08:30:00","16:30:00","60","0"
"4.TA.93-M-j26-1.2.R","08:30:00","16:30:00","60","0"
"5.TA.93-M-j26-1.2.R","09:00:00","16:00:00","60","0"
"6.TA.93-M-j26-1.2.R","08:30:00","16:00:00","60","0"
"1.TA.93-C-j26-1.1.H","13:30:00","16:00:00","60","0"
"2.TA.93-C-j26-1.1.H","08:30:00","16:00:00","60","0"
"3.TA.93-C-j26-1.1.H","09:00:00","12:30:00","60","0"
"4.TA.93-C-j26-1.1.H","09:00:00","16:30:00","60","0"
"5.TA.93-C-j26-1.2.R","08:30:00","16:00:00","60","0"
"6.TA.93-C-j26-1.2.R","09:00:00","16:30:00","60","0"
"7.TA.93-C-j26-1.2.R","13:30:00","16:00:00","60","0"
"8.TA.93-C-j26-1.2.R","09:00:00","12:30:00","60","0"
"1.TA.93-230-4-j26-1.1.H","10:00:00","12:00:00","60","0"
"2.TA.93-230-4-j26-1.1.H","13:30:00","16:15:00","60","0"
"3.TA.93-230-4-j26-1.1.H","09:15:00","16:00:00","60","0"
"4.TA.93-230-4-j26-1.1.H","14:00:00","16:00:00","60","0"
"5.TA.93-230-4-j26-1.1.H","09:15:00","12:15:00","60","0"
"6.TA.93-230-4-j26-1.2.R","09:15:00","12:15:00","60","0"
"7.TA.93-230-4-j26-1.2.R","09:15:00","16:00:00","60","0"
"8.TA.93-230-4-j26-1.2.R","14:00:00","16:00:00","60","0"
"9.TA.93-230-4-j26-1.2.R","13:30:00","16:15:00","60","0"
"10.TA.93-230-4-j26-1.2.R","10:00:00","12:00:00","60","0"
"1.TA.93-279-3-j26-1.1.H","16:31:00","16:40:00","60","0"
"2.TA.93-279-3-j26-1.1.H","08:00:00","16:30:00","60","0"
"3.TA.93-279-3-j26-1.1.H","10:00:00","16:45:00","60","0"
"4.TA.93-279-3-j26-1.2.R","16:31:00","16:40:00","60","0"
"5.TA.93-279-3-j26-1.2.R","10:00:00","16:45:00","60","0"
"6.TA.93-279-3-j26-1.2.R","08:00:00","16:30:00","60","0"
"3.TA.93-R1-j26-1.1.H","07:15:00","17:30:00","60","0"
"7.TA.93-R1-j26-1.1.H","13:15:00","16:00:00","60","0"
"11.TA.93-R1-j26-1.1.H","09:00:00","12:15:00","60","0"
"29.TA.93-R1-j26-1.2.R","07:15:00","17:30:00","60","0"
"3.TA.93-A1_-2-j26-1.2.H","09:03:00","17:03:00","60","0"
"24.TA.93-A1_-2-j26-1.4.R","09:03:00","17:03:00","60","0"
"1.TA.93-224-2-j26-1.1.H","08:45:00","16:00:00","60","0"
"2.TA.93-224-2-j26-1.2.R","08:45:00","16:00:00","60","0"
"1.TA.93-252-5-j26-1.1.H","08:00:00","17:30:00","60","0"
"2.TA.93-252-5-j26-1.1.H","19:00:00","20:00:00","60","0"
"4.TA.93-252-5-j26-1.1.H","20:01:00","22:00:00","60","0"
"5.TA.93-252-5-j26-1.1.H","13:20:00","17:20:00","60","0"
"6.TA.93-252-5-j26-1.1.H","08:25:00","12:20:00","60","0"
"7.TA.93-252-5-j26-1.1.H","08:25:00","17:30:00","60","0"
"8.TA.93-252-5-j26-1.2.R","08:25:00","12:20:00","60","0"
"9.TA.93-252-5-j26-1.2.R","08:00:00","17:30:00","60","0"
"10.TA.93-252-5-j26-1.2.R","19:00:00","20:00:00","60","0"
"11.TA.93-252-5-j26-1.2.R","08:25:00","17:30:00","60","0"
"13.TA.93-252-5-j26-1.2.R","20:01:00","22:00:00","60","0"
"14.TA.93-252-5-j26-1.2.R","13:20:00","17:20:00","60","0"
"1.TA.93-279-5-j26-1.1.H","12:01:00","13:14:00","60","0"
"2.TA.93-279-5-j26-1.1.H","08:00:00","16:30:00","60","0"
"3.TA.93-279-5-j26-1.1.H","08:15:00","12:00:00","60","0"
"4.TA.93-279-5-j26-1.1.H","13:15:00","16:30:00","60","0"
"5.TA.93-279-5-j26-1.2.R","12:01:00","13:14:00","60","0"
"6.TA.93-279-5-j26-1.2.R","08:15:00","12:00:00","60","0"
"7.TA.93-279-5-j26-1.2.R","13:15:00","16:30:00","60","0"
"8.TA.93-279-5-j26-1.2.R","08:00:00","16:30:00","60","0"
"1.TA.93-H4-j26-1.1.H","09:00:00","16:30:00","60","0"
"2.TA.93-H4-j26-1.1.H","08:30:00","16:00:00","60","0"
"3.TA.93-H4-j26-1.2.R","08:30:00","16:00:00","60","0"
"4.TA.93-H4-j26-1.2.R","09:00:00","16:30:00","60","0"
"1.TA.93-H5-j26-1.1.H","09:00:00","16:30:00","60","0"
"2.TA.93-H5-j26-1.1.H","13:00:00","16:00:00","60","0"
"3.TA.93-H5-j26-1.1.H","09:00:00","14:00:00","60","0"
"4.TA.93-H5-j26-1.1.H","09:00:00","12:20:00","60","0"
"5.TA.93-H5-j26-1.2.R","09:00:00","12:20:00","60","0"
"6.TA.93-H5-j26-1.2.R","13:00:00","16:00:00","60","0"
"1.TA.93-H-Y-j26-1.1.H","00:00:00","23:55:00","300","0"
"2.TA.93-H-Y-j26-1.2.R","00:00:00","23:55:00","300","0"
"1.TA.93-241-7-j26-1.1.H","08:30:00","17:00:00","900","0"
"2.TA.93-241-7-j26-1.1.H","09:00:00","17:00:00","1200","0"
"6.TA.93-241-7-j26-1.1.H","08:30:00","17:00:00","900","0"
"7.TA.93-241-7-j26-1.1.H","09:00:00","17:00:00","1200","0"
"8.TA.93-241-7-j26-1.2.R","08:30:00","17:00:00","900","0"
"11.TA.93-241-7-j26-1.2.R","08:30:00","17:00:00","900","0"
"13.TA.93-241-7-j26-1.2.R","09:00:00","17:00:00","1200","0"
"14.TA.93-241-7-j26-1.2.R","09:00:00","17:00:00","1200","0"
"1.TA.93-224-3-j26-1.1.H","09:00:00","16:15:00","60","0"
"2.TA.93-224-3-j26-1.1.H","09:00:00","12:15:00","60","0"
"3.TA.93-224-3-j26-1.1.H","13:15:00","16:15:00","60","0"
"4.TA.93-224-3-j26-1.2.R","09:00:00","16:15:00","60","0"
"5.TA.93-224-3-j26-1.2.R","13:15:00","16:15:00","60","0"
"6.TA.93-224-3-j26-1.2.R","09:00:00","12:15:00","60","0"
"1.TA.93-226-7-j26-1.1.H","08:00:00","12:00:00","60","0"
"2.TA.93-226-7-j26-1.1.H","09:00:00","16:30:00","60","0"
"3.TA.93-226-7-j26-1.1.H","15:45:00","17:30:00","60","0"
"4.TA.93-226-7-j26-1.1.H","13:00:00","14:45:00","60","0"
"5.TA.93-226-7-j26-1.2.R","09:00:00","16:30:00","60","0"
"6.TA.93-226-7-j26-1.2.R","13:00:00","14:45:00","60","0"
"7.TA.93-226-7-j26-1.2.R","15:45:00","17:30:00","60","0"
"8.TA.93-226-7-j26-1.2.R","08:00:00","12:00:00","60","0"
"1.TA.93-284-0-j26-1.1.H","05:25:00","05:55:00","1800","0"
"2.TA.93-284-0-j26-1.1.H","06:25:00","08:25:00","900","0"
"3.TA.93-284-0-j26-1.1.H","08:25:00","15:55:00","1800","0"
"4.TA.93-284-0-j26-1.1.H","16:25:00","16:55:00","900","0"
